Channel:2, Mean rmse: 5.8657941818237305
Channel:26, Mean rmse: 4.9854326248168945
Channel:20, Mean rmse: 4.928170204162598
Channel:28, Mean rmse: 4.877782821655273
Channel:25, Mean rmse: 4.868030548095703
Channel:23, Mean rmse: 4.806235313415527
Channel:40, Mean rmse: 4.73781156539917
Channel:7, Mean rmse: 4.642878532409668
Channel:1, Mean rmse: 4.573646545410156
Channel:3, Mean rmse: 4.338954448699951
Channel:21, Mean rmse: 4.009941577911377
Channel:24, Mean rmse: 3.8600828647613525
Channel:4, Mean rmse: 3.8579235076904297
Channel:6, Mean rmse: 3.7855935096740723
Channel:0, Mean rmse: 3.748610496520996
Channel:10, Mean rmse: 3.706787347793579
Channel:13, Mean rmse: 3.7058634757995605
Channel:9, Mean rmse: 3.6379854679107666
Channel:8, Mean rmse: 3.607867956161499
Channel:18, Mean rmse: 3.6039562225341797
Channel:14, Mean rmse: 3.5739729404449463
Channel:15, Mean rmse: 3.5052568912506104
Channel:22, Mean rmse: 3.4982495307922363
Channel:31, Mean rmse: 3.493175983428955
Channel:27, Mean rmse: 3.4679224491119385
Channel:11, Mean rmse: 3.4430041313171387
Channel:16, Mean rmse: 3.432844400405884
Channel:17, Mean rmse: 3.4045157432556152
Channel:29, Mean rmse: 3.366940975189209
Channel:5, Mean rmse: 3.3300209045410156
Channel:30, Mean rmse: 3.317837953567505
Channel:12, Mean rmse: 3.317617893218994
Channel:46, Mean rmse: 3.0601887702941895
Channel:41, Mean rmse: 3.0245325565338135
Channel:45, Mean rmse: 3.0197741985321045
Channel:19, Mean rmse: 2.9969189167022705
Channel:33, Mean rmse: 2.9219870567321777
Channel:43, Mean rmse: 2.8512258529663086
Channel:44, Mean rmse: 2.845386266708374
Channel:32, Mean rmse: 2.83017897605896
Channel:36, Mean rmse: 2.7757585048675537
Channel:34, Mean rmse: 2.768629789352417
Channel:35, Mean rmse: 2.765693187713623
Channel:39, Mean rmse: 2.726935863494873
Channel:42, Mean rmse: 2.7110490798950195
Channel:38, Mean rmse: 2.708679676055908
Channel:37, Mean rmse: 2.6886544227600098
