Channel:32, Mean rmse: 205.0069122314453
Channel:3, Mean rmse: 64.54683685302734
Channel:6, Mean rmse: 57.90506362915039
Channel:14, Mean rmse: 47.61671829223633
Channel:15, Mean rmse: 46.77781677246094
Channel:9, Mean rmse: 42.68826675415039
Channel:7, Mean rmse: 42.6732063293457
Channel:23, Mean rmse: 41.103816986083984
Channel:22, Mean rmse: 39.21270751953125
Channel:30, Mean rmse: 38.961490631103516
Channel:18, Mean rmse: 37.96396255493164
Channel:24, Mean rmse: 37.47475814819336
Channel:5, Mean rmse: 37.44870376586914
Channel:13, Mean rmse: 37.44546127319336
Channel:11, Mean rmse: 37.11505889892578
Channel:21, Mean rmse: 36.783016204833984
Channel:19, Mean rmse: 36.7453498840332
Channel:28, Mean rmse: 36.48129653930664
Channel:1, Mean rmse: 36.14147186279297
Channel:8, Mean rmse: 36.083316802978516
Channel:29, Mean rmse: 35.99025344848633
Channel:26, Mean rmse: 35.5865478515625
Channel:10, Mean rmse: 35.54123306274414
Channel:0, Mean rmse: 35.390872955322266
Channel:20, Mean rmse: 35.15652847290039
Channel:12, Mean rmse: 35.144012451171875
Channel:2, Mean rmse: 35.06891632080078
Channel:4, Mean rmse: 34.9058952331543
Channel:25, Mean rmse: 34.637664794921875
Channel:27, Mean rmse: 33.8661003112793
Channel:17, Mean rmse: 33.211509704589844
Channel:31, Mean rmse: 32.8373908996582
Channel:16, Mean rmse: 32.60832214355469
